tlg_author_id,tlg_work_id,corpus,cts_urn,corpus_author,corpus_title,edition_description,language,word_count,text_url,metadata_url,license,source_revision,in_printed_inventory,match_method,match_confidence,verification_status
0006,015,Perseus,urn:cts:greekLit:tlg0006.tlg015.perseus-grc2,Euripides,Φοίνισσαι,"Euripides. Euripidis Fabulae, Vol. III. Murray, Gilbert, editor. Oxford: Clarendon Press, 1913. (Reprinted 1920-1978)",grc,,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0006.tlg015.perseus-grc2,https://github.com/PerseusDL/canonical-greekLit/blob/790c84289edbdbe289dd7b752bfea29f0af4299d/data/tlg0006/tlg015/__cts__.xml,CC BY-SA 4.0 (repository default; verify file),790c84289edbdbe289dd7b752bfea29f0af4299d,yes,explicit_tlg_identifier,exact_identifier,METADATA_MATCH_UNVERIFIED_TEXT
0006,016,Perseus,urn:cts:greekLit:tlg0006.tlg016.perseus-grc2,Euripides,Ὀρέστης,"Euripides. Euripidis Fabulae, Vol. III. Murray, Gilbert, editor. Oxford: Clarendon Press, 1913. (Reprinted 1920-1978)",grc,,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0006.tlg016.perseus-grc2,https://github.com/PerseusDL/canonical-greekLit/blob/790c84289edbdbe289dd7b752bfea29f0af4299d/data/tlg0006/tlg016/__cts__.xml,CC BY-SA 4.0 (repository default; verify file),790c84289edbdbe289dd7b752bfea29f0af4299d,yes,explicit_tlg_identifier,exact_identifier,METADATA_MATCH_UNVERIFIED_TEXT
0006,017,Perseus,urn:cts:greekLit:tlg0006.tlg017.perseus-grc2,Euripides,Βάκχαι,"Euripides. Euripidis Fabulae, Vol. III. Murray, Gilbert, editor. Oxford: Clarendon Press, 1913. (Reprinted 1920-1978)",grc,,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0006.tlg017.perseus-grc2,https://github.com/PerseusDL/canonical-greekLit/blob/790c84289edbdbe289dd7b752bfea29f0af4299d/data/tlg0006/tlg017/__cts__.xml,CC BY-SA 4.0 (repository default; verify file),790c84289edbdbe289dd7b752bfea29f0af4299d,yes,explicit_tlg_identifier,exact_identifier,METADATA_MATCH_UNVERIFIED_TEXT
0006,018,Perseus,urn:cts:greekLit:tlg0006.tlg018.perseus-grc2,Euripides,Ἰφιγένεια ἐν Αὐλίδι,"Euripides. Euripidis Fabulae, Vol. III. Murray, Gilbert, editor. Oxford: Clarendon Press, 1913. (Reprinted 1920-1978)",grc,,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0006.tlg018.perseus-grc2,https://github.com/PerseusDL/canonical-greekLit/blob/790c84289edbdbe289dd7b752bfea29f0af4299d/data/tlg0006/tlg018/__cts__.xml,CC BY-SA 4.0 (repository default; verify file),790c84289edbdbe289dd7b752bfea29f0af4299d,yes,explicit_tlg_identifier,exact_identifier,METADATA_MATCH_UNVERIFIED_TEXT
0006,019,Perseus,urn:cts:greekLit:tlg0006.tlg019.perseus-grc2,Euripides,Ῥῆσος,"Euripides. Euripidis Fabulae, Vol. III. Murray, Gilbert, editor. Oxford: Clarendon Press, 1913. (Reprinted 1920-1978)",grc,,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0006.tlg019.perseus-grc2,https://github.com/PerseusDL/canonical-greekLit/blob/790c84289edbdbe289dd7b752bfea29f0af4299d/data/tlg0006/tlg019/__cts__.xml,CC BY-SA 4.0 (repository default; verify file),790c84289edbdbe289dd7b752bfea29f0af4299d,yes,explicit_tlg_identifier,exact_identifier,METADATA_MATCH_UNVERIFIED_TEXT
0006,020,First1KGreek,urn:cts:greekLit:tlg0006.tlg020.1st1K-grc1,Euripides,Fragmenta,,"grc,lat",17377,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0006.tlg020.1st1K-grc1:1,https://github.com/OpenGreekAndLatin/First1KGreek,REVIEW_REQUIRED,bfea9acd07ee1b7cea70cdd927c8f092d5637695,yes,explicit_tlg_identifier,exact_identifier,METADATA_MATCH_UNVERIFIED_TEXT
0007,001,Perseus,urn:cts:greekLit:tlg0007.tlg001.perseus-grc2,Plutarch,Θησεύς,"Plutarch. Plutarch's Lives, Vol. I. Perrin, Bernadotte, editor. Cambridge, MA: Harvard University Press; London: William Heinemann Ltd., 1914.",grc,,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0007.tlg001.perseus-grc2,https://github.com/PerseusDL/canonical-greekLit/blob/790c84289edbdbe289dd7b752bfea29f0af4299d/data/tlg0007/tlg001/__cts__.xml,CC BY-SA 4.0 (repository default; verify file),790c84289edbdbe289dd7b752bfea29f0af4299d,yes,explicit_tlg_identifier,exact_identifier,METADATA_MATCH_UNVERIFIED_TEXT
0007,002,Perseus,urn:cts:greekLit:tlg0007.tlg002.perseus-grc2,Plutarch,Ῥωμύλος,"Plutarch. Plutarch's Lives, Vol. I. Perrin, Bernadotte, editor. Cambridge, MA: Harvard University Press; London: William Heinemann Ltd., 1914.",grc,,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0007.tlg002.perseus-grc2,https://github.com/PerseusDL/canonical-greekLit/blob/790c84289edbdbe289dd7b752bfea29f0af4299d/data/tlg0007/tlg002/__cts__.xml,CC BY-SA 4.0 (repository default; verify file),790c84289edbdbe289dd7b752bfea29f0af4299d,yes,explicit_tlg_identifier,exact_identifier,METADATA_MATCH_UNVERIFIED_TEXT
0007,003,Perseus,urn:cts:greekLit:tlg0007.tlg003.perseus-grc2,Plutarch,Θησέως καὶ Ῥωμύλου σύγκρισις,"Plutarch. Plutarch's Lives, Vol. I. Perrin, Bernadotte, editor. Cambridge, MA: Harvard University Press; London: William Heinemann Ltd., 1914.",grc,,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0007.tlg003.perseus-grc2,https://github.com/PerseusDL/canonical-greekLit/blob/790c84289edbdbe289dd7b752bfea29f0af4299d/data/tlg0007/tlg003/__cts__.xml,CC BY-SA 4.0 (repository default; verify file),790c84289edbdbe289dd7b752bfea29f0af4299d,yes,explicit_tlg_identifier,exact_identifier,METADATA_MATCH_UNVERIFIED_TEXT
0007,004,Perseus,urn:cts:greekLit:tlg0007.tlg004.perseus-grc2,Plutarch,Λυκοῦργος,"Plutarch. Plutarch's Lives, Vol. I. Perrin, Bernadotte, editor. Cambridge, MA: Harvard University Press; London: William Heinemann Ltd., 1914.",grc,,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0007.tlg004.perseus-grc2,https://github.com/PerseusDL/canonical-greekLit/blob/790c84289edbdbe289dd7b752bfea29f0af4299d/data/tlg0007/tlg004/__cts__.xml,CC BY-SA 4.0 (repository default; verify file),790c84289edbdbe289dd7b752bfea29f0af4299d,yes,explicit_tlg_identifier,exact_identifier,METADATA_MATCH_UNVERIFIED_TEXT
