tlg_author_id,tlg_work_id,relationship,journal_status,source_urn,source_url,source_local_path,source_sha256,source_license,evidence_file
1801,001,VERIFIED_ALTERNATE_EDITION,OPEN_TEXT_DIFFERENT_EDITION,urn:cts:greekLit:tlg1801.tlg001.1st1K-grc1,https://raw.githubusercontent.com/OpenGreekAndLatin/First1KGreek/bfea9acd07ee1b7cea70cdd927c8f092d5637695/data/tlg1801/tlg001/tlg1801.tlg001.1st1K-grc1.xml,sources/upstream/first1kgreek/data/tlg1801/tlg001/tlg1801.tlg001.1st1K-grc1.xml,a1e0eba9dea81030713652f3b3ce752e5bd3f407898f0a5c92acbabd10b3b8fc,https://creativecommons.org/licenses/by-sa/4.0/ Available under a Creative Commons Attribution-ShareAlike 4.0 International License,data/research_batches/detailed_verified_3001_batch_877.csv
1805,001,VERIFIED_ALTERNATE_EDITION,OPEN_TEXT_DIFFERENT_EDITION,urn:cts:greekLit:tlg1805.tlg001.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg1805.tlg001.1st1K-grc1:1,sources/upstream/first1kgreek/data/tlg1805/tlg001/tlg1805.tlg001.1st1K-grc1.xml,98c4518cfaef212a7ca03d35fedab098535cd4d1baffb1d867da009901ba20ec,https://creativecommons.org/licenses/by-sa/4.0/ Available under a Creative Commons Attribution-ShareAlike 4.0 International License,data/research_batches/detailed_verified_3001_batch_878.csv
1805,002,VERIFIED_ALTERNATE_EDITION,OPEN_TEXT_DIFFERENT_EDITION,urn:cts:greekLit:tlg1805.tlg002.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg1805.tlg002.1st1K-grc1:1.1,sources/upstream/first1kgreek/data/tlg1805/tlg002/tlg1805.tlg002.1st1K-grc1.xml,89eb3aec3816ca2a7a4e697c1fe1bd2148ac36b971b06e76acdc3ddac0eeebba,https://creativecommons.org/licenses/by-sa/4.0/ Available under a Creative Commons Attribution-ShareAlike 4.0 International License,data/research_batches/detailed_verified_3001_batch_878.csv
1805,003,VERIFIED_ALTERNATE_EDITION,OPEN_TEXT_DIFFERENT_EDITION,urn:cts:greekLit:tlg1805.tlg003.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg1805.tlg003.1st1K-grc1:1,sources/upstream/first1kgreek/data/tlg1805/tlg003/tlg1805.tlg003.1st1K-grc1.xml,98911370b69425bf56fba0f61fd764eeb545097820cd5796822d0ccfc24d1e74,https://creativecommons.org/licenses/by-sa/4.0/ Available under a Creative Commons Attribution-ShareAlike 4.0 International License,data/research_batches/detailed_verified_3001_batch_878.csv
1805,004,VERIFIED_ALTERNATE_EDITION,OPEN_TEXT_DIFFERENT_EDITION,urn:cts:greekLit:tlg1805.tlg004.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg1805.tlg004.1st1K-grc1:1,sources/upstream/first1kgreek/data/tlg1805/tlg004/tlg1805.tlg004.1st1K-grc1.xml,dfb4485f6999160266b4fe332cf65d442b8e82f820d4e73cf5681c6ef1182801,https://creativecommons.org/licenses/by-sa/4.0/ Available under a Creative Commons Attribution-ShareAlike 4.0 International License,data/research_batches/detailed_verified_3001_batch_879.csv
1805,005,VERIFIED_ALTERNATE_EDITION,OPEN_TEXT_DIFFERENT_EDITION,urn:cts:greekLit:tlg1805.tlg005.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg1805.tlg005.1st1K-grc1:1,sources/upstream/first1kgreek/data/tlg1805/tlg005/tlg1805.tlg005.1st1K-grc1.xml,681005bdc069b322aeb0eaba303af73e80f808e78f40f265482cefe0fb048693,https://creativecommons.org/licenses/by-sa/4.0/ Available under a Creative Commons Attribution-ShareAlike 4.0 International License,data/research_batches/detailed_verified_3001_batch_879.csv
1805,006,VERIFIED_ALTERNATE_EDITION,OPEN_TEXT_DIFFERENT_EDITION,urn:cts:greekLit:tlg1805.tlg006.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg1805.tlg006.1st1K-grc1:1,sources/upstream/first1kgreek/data/tlg1805/tlg006/tlg1805.tlg006.1st1K-grc1.xml,f4a408e7a2acb029a763a1acf7caa2806c73782929a6edcba0b7b576e0d51120,https://creativecommons.org/licenses/by-sa/4.0/ Available under a Creative Commons Attribution-ShareAlike 4.0 International License,data/research_batches/detailed_verified_3001_batch_879.csv
1805,007,VERIFIED_ALTERNATE_EDITION,OPEN_TEXT_DIFFERENT_EDITION,urn:cts:greekLit:tlg1805.tlg007.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg1805.tlg007.1st1K-grc1:1,sources/upstream/first1kgreek/data/tlg1805/tlg007/tlg1805.tlg007.1st1K-grc1.xml,abcc66c24db43e22e2f9554499082e203dd4aafa3761b58be5305450ae2d3582,https://creativecommons.org/licenses/by-sa/4.0/ Available under a Creative Commons Attribution-ShareAlike 4.0 International License,data/research_batches/detailed_verified_3001_batch_879.csv
1805,008,VERIFIED_ALTERNATE_EDITION,OPEN_TEXT_DIFFERENT_EDITION,urn:cts:greekLit:tlg1805.tlg008.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg1805.tlg008.1st1K-grc1:1,sources/upstream/first1kgreek/data/tlg1805/tlg008/tlg1805.tlg008.1st1K-grc1.xml,f21c1ba5759a81b00a6519cfe5c6e982bc1570a163adda312410294115ce7c38,https://creativecommons.org/licenses/by-sa/4.0/ Available under a Creative Commons Attribution-ShareAlike 4.0 International License,data/research_batches/detailed_verified_3001_batch_879.csv
1805,009,VERIFIED_ALTERNATE_EDITION,OPEN_TEXT_DIFFERENT_EDITION,urn:cts:greekLit:tlg1805.tlg009.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg1805.tlg009.1st1K-grc1:2,sources/upstream/first1kgreek/data/tlg1805/tlg009/tlg1805.tlg009.1st1K-grc1.xml,dfa4e4d25fd6b95633c2b6e8d3561d3e0d6c829d2bf9c081b29752ba60442c79,https://creativecommons.org/licenses/by-sa/4.0/ Available under a Creative Commons Attribution-ShareAlike 4.0 International License,data/research_batches/detailed_verified_3001_batch_880.csv
